Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6iocSqeYyXVcXX6IigUqmH,"偶像已死","偶像已死","Gareth.T",2024-09-12,212875,52,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","WM Hong Kong",0.433,0.355,2,-7.555,0,0.0311,0.742,0.00000108,0.102,0.352,145.829,4
spotify:track:6GeBNMn9w7i6O6fJnrUt1d,"外星人接我回去","外星人接我回去","moon tang",2024-08-15,230801,33,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.331,0.302,6,-11.546,1,0.0362,0.909,0,0.109,0.218,141.654,4
spotify:track:62XpKzUXVB2MYL2adL4UlE,"我想和你好好的","我想和你好好的","Panther Chan",2021-06-29,257672,37,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.614,0.317,0,-8.699,1,0.0355,0.935,0.0000142,0.36,0.487,121.981,4
spotify:track:7DtzElK1X4H5FWQMPX7ZYH,"企好","企好","Gin Lee",2023-07-06,205653,46,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,mandopop","EEG Music",0.669,0.408,7,-7.757,1,0.0349,0.817,0,0.124,0.64,125,4
spotify:track:33zXfdqtSYhvfdoRrEdiRH,"一百個未老先衰的方法","一百個未老先衰的方法","MC 張天賦",2024-12-01,253821,49,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.662,0.578,9,-8.165,1,0.0357,0.702,0,0.108,0.315,109.04,4
spotify:track:78TbTvePaJ6FFdwSMSXARy,"勁浪漫 超溫馨","勁浪漫 超溫馨","Gareth.T",2021-11-26,199547,42,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","WM Hong Kong",0.628,0.315,1,-8.317,1,0.0331,0.649,0,0.095,0.731,134.973,3
spotify:track:69mgDd4R5jAsa8b8oxZqzF,"神愛世人","神愛世人","Tang Siu Hau",2024-08-05,223164,40,false,,2025-05-09T05:47:17Z,"cantopop","EEG Music",0.508,0.331,5,-10.751,1,0.0364,0.889,0.0000048,0.0954,0.452,127.67,4
spotify:track:2UsLlSoOjzmEvp0EygT9ss,"春日部","春日部","Terence Lam",2025-02-28,182152,42,false,,2025-05-22T13:52:38Z,"cantopop,c-pop","Terence Lam Production & Co.",0.378,0.685,5,-7.376,1,0.046,0.543,0.00584,0.112,0.443,110.194,3
spotify:track:3quF1XqhzlctAjyX0a2Con,"離別時刻","離別時刻","Yan Ting",2025-01-24,221008,45,false,,2025-05-09T05:47:17Z,"cantopop","Universal Music Ltd.",0.547,0.387,0,-8.522,1,0.0448,0.55,0,0.294,0.483,139.831,4
spotify:track:4UVccKUI1aiZ17lecEfbNu,"小心碰頭","小心碰頭","MC 張天賦",2024-08-20,257557,49,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.452,0.589,5,-6.558,1,0.0307,0.417,0,0.356,0.579,184.121,3
spotify:track:5Ldid7DCBB0UMri24SoLRq,"我心中尚未崩壞的部分","我心中尚未崩壞的部分","Cath Wong",2020-11-06,206817,32,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Sony Music Entertainment",0.562,0.372,4,-10.662,1,0.0733,0.706,0.00000148,0.0894,0.0882,132.842,4
spotify:track:3tzjn5ILVuHc4eSLTH60lY,"Long D","Long D","JACE",2022-04-08,221538,44,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Universal Music Ltd.",0.72,0.492,10,-8.977,1,0.144,0.734,0.00000192,0.137,0.377,143.038,4
spotify:track:0ZnUxq0HrUPilUSf9ZlQaT,"給缺席的人唱首歌","給缺席的人唱首歌","Jay Fung",2022-07-06,237985,35,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Media Asia Music Limited",0.599,0.526,0,-8.214,1,0.0316,0.601,0,0.127,0.413,134.038,4
spotify:track:5qLNCttpNjUaDoTsfryRuV,"沒有送出的詩","沒有送出的詩","Gordon Flanders",2024-09-11,210432,41,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","WM Hong Kong",0.581,0.535,5,-9.482,1,0.041,0.501,0.00000112,0.105,0.356,88.038,4
spotify:track:1ZrnCyms7CBYsCvkkVIkt8,"記憶棉","記憶棉","MC 張天賦",2021-10-22,273390,61,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.491,0.533,9,-7.594,1,0.0473,0.393,0,0.0944,0.214,149.856,4
